SubID,ExperimentDesign,Start_Floor,Start_Location,Crowdedness,T1,T2,T3,T4,T5,T6
1,WithinFloor,2,A,High,A2,A3,A2,A3,A2,A3
2,WithinFloor,2,A,High,A2,A3,A2,A3,A2,A3
3,WithinFloor,2,A,High,A2,A3,A2,A3,A2,A3
4,WithinFloor,2,A,High,A2,A3,A2,A3,A2,A3
5,WithinFloor,2,A,High,A2,A3,A2,A3,A2,A3
6,WithinFloor,2,A,Low,A2,A3,A2,A3,A2,A3
7,WithinFloor,2,A,Low,A2,A3,A2,A3,A2,A3
8,WithinFloor,2,A,Low,A2,A3,A2,A3,A2,A3
9,WithinFloor,2,A,Low,A2,A3,A2,A3,A2,A3
10,WithinFloor,2,A,Low,A2,A3,A2,A3,A2,A3
11,WithinFloor,2,B,High,B2,B3,B2,B3,B2,B3
12,WithinFloor,2,B,High,B2,B3,B2,B3,B2,B3
13,WithinFloor,2,B,High,B2,B3,B2,B3,B2,B3
14,WithinFloor,2,B,High,B2,B3,B2,B3,B2,B3
15,WithinFloor,2,B,High,B2,B3,B2,B3,B2,B3
16,WithinFloor,2,B,Low,B2,B3,B2,B3,B2,B3
17,WithinFloor,2,B,Low,B2,B3,B2,B3,B2,B3
18,WithinFloor,2,B,Low,B2,B3,B2,B3,B2,B3
19,WithinFloor,2,B,Low,B2,B3,B2,B3,B2,B3
20,WithinFloor,2,B,Low,B2,B3,B2,B3,B2,B3
21,WithinFloor,3,A,High,A3,A2,A3,A2,A3,A2
22,WithinFloor,3,A,High,A3,A2,A3,A2,A3,A2
23,WithinFloor,3,A,High,A3,A2,A3,A2,A3,A2
24,WithinFloor,3,A,High,A3,A2,A3,A2,A3,A2
25,WithinFloor,3,A,High,A3,A2,A3,A2,A3,A2
26,WithinFloor,3,A,Low,A3,A2,A3,A2,A3,A2
27,WithinFloor,3,A,Low,A3,A2,A3,A2,A3,A2
28,WithinFloor,3,A,Low,A3,A2,A3,A2,A3,A2
29,WithinFloor,3,A,Low,A3,A2,A3,A2,A3,A2
30,WithinFloor,3,A,Low,A3,A2,A3,A2,A3,A2
31,WithinFloor,3,B,High,B3,B2,B3,B2,B3,B2
32,WithinFloor,3,B,High,B3,B2,B3,B2,B3,B2
33,WithinFloor,3,B,High,B3,B2,B3,B2,B3,B2
34,WithinFloor,3,B,High,B3,B2,B3,B2,B3,B2
35,WithinFloor,3,B,High,B3,B2,B3,B2,B3,B2
36,WithinFloor,3,B,Low,B3,B2,B3,B2,B3,B2
37,WithinFloor,3,B,Low,B3,B2,B3,B2,B3,B2
38,WithinFloor,3,B,Low,B3,B2,B3,B2,B3,B2
39,WithinFloor,3,B,Low,B3,B2,B3,B2,B3,B2
40,WithinFloor,3,B,Low,B3,B2,B3,B2,B3,B2
41,BetweenFloor,2,A,High,A2,A3,A2,A3,A2,A3
42,BetweenFloor,2,A,High,A2,A3,A2,A3,A2,A3
43,BetweenFloor,2,A,High,A2,A3,A2,A3,A2,A3
44,BetweenFloor,2,A,High,A2,A3,A2,A3,A2,A3
45,BetweenFloor,2,A,High,A2,A3,A2,A3,A2,A3
46,BetweenFloor,2,A,Low,A2,A3,A2,A3,A2,A3
47,BetweenFloor,2,A,Low,A2,A3,A2,A3,A2,A3
48,BetweenFloor,2,A,Low,A2,A3,A2,A3,A2,A3
49,BetweenFloor,2,A,Low,A2,A3,A2,A3,A2,A3
50,BetweenFloor,2,A,Low,A2,A3,A2,A3,A2,A3
51,BetweenFloor,2,B,High,B2,B3,B2,B3,B2,B3
52,BetweenFloor,2,B,High,B2,B3,B2,B3,B2,B3
53,BetweenFloor,2,B,High,B2,B3,B2,B3,B2,B3
54,BetweenFloor,2,B,High,B2,B3,B2,B3,B2,B3
55,BetweenFloor,2,B,High,B2,B3,B2,B3,B2,B3
56,BetweenFloor,2,B,Low,B2,B3,B2,B3,B2,B3
57,BetweenFloor,2,B,Low,B2,B3,B2,B3,B2,B3
58,BetweenFloor,2,B,Low,B2,B3,B2,B3,B2,B3
59,BetweenFloor,2,B,Low,B2,B3,B2,B3,B2,B3
60,BetweenFloor,2,B,Low,B2,B3,B2,B3,B2,B3
61,BetweenFloor,3,A,High,A3,A2,A3,A2,A3,A2
62,BetweenFloor,3,A,High,A3,A2,A3,A2,A3,A2
63,BetweenFloor,3,A,High,A3,A2,A3,A2,A3,A2
64,BetweenFloor,3,A,High,A3,A2,A3,A2,A3,A2
65,BetweenFloor,3,A,High,A3,A2,A3,A2,A3,A2
66,BetweenFloor,3,A,Low,A3,A2,A3,A2,A3,A2
67,BetweenFloor,3,A,Low,A3,A2,A3,A2,A3,A2
68,BetweenFloor,3,A,Low,A3,A2,A3,A2,A3,A2
69,BetweenFloor,3,A,Low,A3,A2,A3,A2,A3,A2
70,BetweenFloor,3,A,Low,A3,A2,A3,A2,A3,A2
71,BetweenFloor,3,B,High,B3,B2,B3,B2,B3,B2
72,BetweenFloor,3,B,High,B3,B2,B3,B2,B3,B2
73,BetweenFloor,3,B,High,B3,B2,B3,B2,B3,B2
74,BetweenFloor,3,B,High,B3,B2,B3,B2,B3,B2
75,BetweenFloor,3,B,High,B3,B2,B3,B2,B3,B2
76,BetweenFloor,3,B,Low,B3,B2,B3,B2,B3,B2
77,BetweenFloor,3,B,Low,B3,B2,B3,B2,B3,B2
78,BetweenFloor,3,B,Low,B3,B2,B3,B2,B3,B2
79,BetweenFloor,3,B,Low,B3,B2,B3,B2,B3,B2
80,BetweenFloor,3,B,Low,B3,B2,B3,B2,B3,B2
