Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,SubID,positive:negative,active:calm,controlled:in control,calm:stressed,bored:enthusiastic,carefree:worried,happy:unhappy,dissatisfied:satisfied,nervous:calm,relaxed:tense,tired:alert,energetic:listless / limp,pleased:annoyed,confident:unconfident,impression,relaxed.,dull.,judge,succeed,tense.,worried,feel,in control,reflecting,attention,thinking deeply,energetic.,happened to me,how other people might perform,something  happened earlier, the task will be too difficult, hard to concentrate,personal concerns,confident,examining motives.,I can handle,dealt with similar tasks in the past,reflecting on my reasons for doing the task,motivated to try hard,Q48 -  things important to me,uneasy.,tired.,cannot deal with effectively,bored,positive:negative,active:calm,controlled:in control,positive:negative,active:calm,controlled:in control,positive:negative,active:calm,controlled:in control,positive:negative,active:calm,controlled:in control,calm:stressed,bored:enthusiastic,carefree:worried,happy:unhappy,dissatisfied:satisfied,nervous:calm,relaxed:tense,tired:alert,energetic:listless / limp,pleased:annoyed,confident:unconfident,impression,relaxed.,dull.,judge,succeed,tense.,worried,feel,in control,reflecting,attention,thinking deeply,energetic.,happened to me,how other people might perform,something  happened earlier, the task will be too difficult, hard to concentrate,personal concerns,confident,examining motives,I can handle,dealt with similar tasks in the past,reflecting on my reasons,motivated to try hard,things important to me,uneasy,tired,cannot deal with effectively,bored,give direction,poor memory,judging distance,good sod,cardinal direction,get lost,enjoy reading maps,trouble read maps,very good reading aps,don't remember routes as car passenger,don't enjoy giving direction,not important to know where I am,let else do navigation,good at remembering new route,not good mental map,Level 2 Crowdedness,Level 3 Crowdedness,Crowd Avoidance,How relaxed,How stressed,Age,Gender,Height,Field of study,semester,End
10/2/19 18:17,10/2/19 19:48,IP Address,137.132.22.253,100,5460,TRUE,10/2/19 19:48,R_1ONuxNsbvvQX3kr,,,,,1.292892456,103.8547058,anonymous,EN,30,2,2,7,2,7,1,2,6,7,3,6,1,1,2,Definitely false0,Definitely true  4,Definitely false0,Definitely false0,3,Definitely false0,Definitely false0,1,3,Neither true nor false  2,Definitely true  4,Definitely false0,Definitely true  4,Definitely false0,1,Definitely false0,Definitely false0,Definitely false0,Definitely false0,3,3,3,1,Neither true nor false  2,3,Definitely false0,Definitely false0,Definitely false0,Definitely false0,Definitely false0,1,2,7,1,2,6,2,2,7,1,2,7,2,7,1,1,7,6,1,4,2,1,2,Definitely false0,Definitely true  4,Definitely false0,Definitely false0,3,1,Definitely false0,1,3,1,3,Definitely false0,3,1,Definitely false0,Definitely false0,1,Definitely false0,Definitely false0,3,Definitely false0,Neither true nor false  2,Neither true nor false  2,1,Definitely true  4,Definitely false0,Definitely false0,1,Definitely false0,Definitely false0,6,2,2,3,7 (Strongly Disagree),4,1 (Strongly Agree),3,4,4,3,5,6,4,6,80,11,6,9,1,27,Male,"1,81",Student/Engineering,8,
10/2/19 20:07,10/2/19 21:01,IP Address,137.132.22.253,100,3215,TRUE,10/2/19 21:01,R_3fYSDAfTrik91Kj,,,,,1.292892456,103.8547058,anonymous,EN,1,4,6,6,3,4,3,3,4,5,3,4,4,3,4,Neither true nor false  2,3,1,3,3,Neither true nor false  2,Neither true nor false  2,3,3,3,3,3,Neither true nor false  2,Neither true nor false  2,Neither true nor false  2,Neither true nor false  2,1,1,Neither true nor false  2,3,3,3,3,Neither true nor false  2,Neither true nor false  2,Neither true nor false  2,1,Neither true nor false  2,1,1,4,4,7,3,4,6,3,3,8,3,3,8,3,5,3,3,5,5,2,4,4,2,2,3,3,Neither true nor false  2,3,3,1,3,3,3,Neither true nor false  2,Definitely true  4,Neither true nor false  2,Neither true nor false  2,Neither true nor false  2,3,3,1,3,Neither true nor false  2,Neither true nor false  2,1,3,Neither true nor false  2,3,3,Neither true nor false  2,3,1,1,1,4,4,4,3,2,3,7 (Strongly Disagree),4,7 (Strongly Disagree),5,4,5,1 (Strongly Agree),1 (Strongly Agree),6,74,36,9,8,4,22,Male,162,Engineering ,4,
10/2/19 22:59,10/2/19 23:50,IP Address,137.132.22.253,100,3046,TRUE,10/2/19 23:50,R_OlhHaH1QPGORzEJ,,,,,1.292892456,103.8547058,anonymous,EN,2,5,5,9,2,2,2,2,6,6,2,2,4,4,2,1,Definitely true  4,Neither true nor false  2,1,3,1,1,1,3,Definitely false0,3,1,1,1,3,3,Definitely false0,Definitely false0,3,3,3,3,3,Definitely true  4,1,Definitely true  4,1,Definitely true  4,1,3,3,2,6,6,3,6,6,7,6,3,2,7,6,2,1,1,7,5,5,2,4,2,2,1,3,1,1,3,3,1,1,3,3,3,3,3,3,Definitely false0,3,Definitely false0,1,3,Definitely true  4,Definitely true  4,Definitely true  4,3,3,3,3,Neither true nor false  2,3,Neither true nor false  2,3,1 (Strongly Agree),7 (Strongly Disagree),1 (Strongly Agree),1 (Strongly Agree),7 (Strongly Disagree),7 (Strongly Disagree),7 (Strongly Disagree),7 (Strongly Disagree),1 (Strongly Agree),7 (Strongly Disagree),1 (Strongly Agree),7 (Strongly Disagree),7 (Strongly Disagree),1 (Strongly Agree),7 (Strongly Disagree),74,18,6,6,6,21,Female,155cm,Economics,2,
11/2/19 0:31,11/2/19 1:34,IP Address,137.132.22.253,100,3826,TRUE,11/2/19 1:34,R_8vKGepPPxPytluN,,,,,1.292892456,103.8547058,anonymous,EN,19,3,5,7,3,5,2,2,5,5,3,5,3,2,3,1,3,1,Neither true nor false  2,3,1,1,1,3,1,3,1,3,Definitely false0,1,Definitely false0,1,1,Definitely false0,3,Definitely false0,Neither true nor false  2,1,1,3,1,Definitely false0,1,Definitely false0,Definitely false0,3,4,5,3,4,6,4,4,6,5,5,5,5,5,3,2,5,3,5,3,3,3,3,1,1,Definitely false0,3,3,1,Definitely false0,1,3,1,3,Definitely false0,3,Definitely false0,3,Definitely false0,1,Definitely false0,Definitely false0,1,Definitely false0,3,1,Definitely false0,3,1,3,3,1,Definitely false0,3,3,5,5,5,4,2,5,,5,6,7 (Strongly Disagree),3,3,5,43,23,3,3,6,21,Female,1.62m,Undergraduate Student / Psychology ,Year 3 Sem 2,
11/2/19 18:30,11/2/19 19:27,IP Address,137.132.22.253,100,3439,TRUE,11/2/19 19:27,R_3GBd2jYinsoPkGQ,,,,,1.292892456,103.8547058,anonymous,EN,7,3,3,5,1,6,2,2,4,3,4,5,2,3,4,Neither true nor false  2,3,1,1,Neither true nor false  2,Neither true nor false  2,Neither true nor false  2,3,3,1,Definitely true  4,1,3,Definitely false0,Definitely true  4,Definitely false0,Neither true nor false  2,3,Definitely false0,Neither true nor false  2,Neither true nor false  2,Neither true nor false  2,Neither true nor false  2,Definitely false0,Neither true nor false  2,Definitely false0,Neither true nor false  2,1,1,Definitely false0,2,3,2,4,4,3,5,7,7,2,8,8,1,5,1,1,7,7,1,1,6,3,2,Definitely false0,Definitely true  4,3,Definitely true  4,Neither true nor false  2,Definitely false0,Definitely true  4,Definitely true  4,Definitely true  4,3,Definitely true  4,3,3,3,Definitely true  4,Definitely false0,Definitely false0,Definitely false0,Definitely false0,3,Definitely false0,3,Definitely true  4,Neither true nor false  2,3,Definitely false0,1,Definitely true  4,Definitely false0,3,7 (Strongly Disagree),7 (Strongly Disagree),7 (Strongly Disagree),7 (Strongly Disagree),7 (Strongly Disagree),1 (Strongly Agree),7 (Strongly Disagree),1 (Strongly Agree),7 (Strongly Disagree),1 (Strongly Agree),4,1 (Strongly Agree),1 (Strongly Agree),7 (Strongly Disagree),1 (Strongly Agree),80,28,8,5,3,20,Female,159cm,Nursing student ,Year 1 Semester 2 ,
11/2/19 20:11,11/2/19 21:16,IP Address,137.132.22.253,100,3925,TRUE,11/2/19 21:16,R_2rMlavxIBUAMS1B,,,,,1.292892456,103.8547058,anonymous,EN,14,5,6,6,5,6,5,4,5,5,4,5,3,4,3,Neither true nor false  2,Neither true nor false  2,1,Neither true nor false  2,3,1,Neither true nor false  2,3,Neither true nor false  2,3,3,Neither true nor false  2,Neither true nor false  2,Definitely true  4,Neither true nor false  2,Definitely true  4,Neither true nor false  2,Neither true nor false  2,Definitely true  4,3,Neither true nor false  2,3,3,1,3,Definitely true  4,Definitely true  4,Neither true nor false  2,Neither true nor false  2,1,3,3,7,3,3,2,5,5,3,5,6,4,3,5,3,3,5,4,4,4,4,3,3,Neither true nor false  2,3,1,Neither true nor false  2,3,1,Neither true nor false  2,Neither true nor false  2,Neither true nor false  2,3,3,Definitely true  4,Neither true nor false  2,Definitely true  4,Definitely false0,Definitely true  4,Neither true nor false  2,Neither true nor false  2,Definitely true  4,3,3,3,3,Definitely true  4,3,Definitely true  4,3,Neither true nor false  2,Neither true nor false  2,1,3,4,4,4,7 (Strongly Disagree),6,5,3,7 (Strongly Disagree),1 (Strongly Agree),2,6,2,4,4,69,47,7,7,1,24,Female,170,Student ,Y4/S1,
11/2/19 22:58,11/2/19 23:55,IP Address,137.132.22.253,100,3424,TRUE,11/2/19 23:55,R_2YRiLJlLhXqlY7w,,,,,1.292892456,103.8547058,anonymous,EN,13,3,5,7,3,6,3,3,5,5,3,4,4,3,3,Definitely true  4,3,Neither true nor false  2,3,3,Neither true nor false  2,3,3,3,3,3,3,3,3,1,1,1,1,Neither true nor false  2,Neither true nor false  2,Neither true nor false  2,3,Neither true nor false  2,Neither true nor false  2,3,Neither true nor false  2,Neither true nor false  2,3,Neither true nor false  2,1,4,2,7,3,3,7,2,3,7,2,3,7,3,6,3,3,5,5,5,3,4,3,3,3,3,1,3,3,Neither true nor false  2,3,3,3,Neither true nor false  2,3,Neither true nor false  2,3,Neither true nor false  2,1,1,1,1,1,3,Neither true nor false  2,Neither true nor false  2,Neither true nor false  2,Neither true nor false  2,3,Neither true nor false  2,1,3,1,1,2,4,3,3,5,5,4,6,3,3,5,5,6,4,5,42,61,10,6,3,21,Female,"1,58",Life Sciences,4,
12/2/19 0:22,12/2/19 1:39,IP Address,137.132.22.253,100,4586,TRUE,12/2/19 1:39,R_2sXgwP01HmHNwAW,,,,,1.292892456,103.8547058,anonymous,EN,41,5,8,7,2,3,3,4,5,6,3,3,5,4,4,3,3,Neither true nor false  2,3,3,Neither true nor false  2,3,3,3,Neither true nor false  2,Definitely true  4,Neither true nor false  2,1,1,3,Neither true nor false  2,Neither true nor false  2,Neither true nor false  2,Neither true nor false  2,Neither true nor false  2,Neither true nor false  2,Neither true nor false  2,3,3,Definitely true  4,3,Neither true nor false  2,3,Neither true nor false  2,Neither true nor false  2,5,2,7,5,1,8,5,1,8,6,1,8,5,4,4,4,4,3,6,3,5,4,2,3,Neither true nor false  2,Neither true nor false  2,3,3,3,3,3,3,3,3,3,1,Neither true nor false  2,Definitely true  4,Neither true nor false  2,Neither true nor false  2,Neither true nor false  2,Neither true nor false  2,3,3,3,3,3,3,3,Definitely true  4,3,Neither true nor false  2,Neither true nor false  2,3,5,4,5,7 (Strongly Disagree),1 (Strongly Agree),4,4,3,3,3,4,2,4,3,60,48,7,4,7,20,Female,165,Psychology ,4,
12/2/19 18:32,12/2/19 19:40,IP Address,137.132.22.253,100,4097,TRUE,12/2/19 19:40,R_2riMcYV3WVwLjLk,,,,,1.292892456,103.8547058,anonymous,EN,9,3,5,7,2,5,3,3,6,3,5,2,3,2,3,3,Neither true nor false  2,Definitely false0,3,3,3,Definitely true  4,Neither true nor false  2,3,Neither true nor false  2,Definitely true  4,Neither true nor false  2,Neither true nor false  2,1,Definitely false0,Definitely false0,1,1,1,3,3,3,3,3,Definitely true  4,1,1,3,1,Definitely false0,1,3,7,1,3,9,1,3,9,1,3,9,3,5,2,2,7,5,5,7,1,3,3,Neither true nor false  2,3,Definitely false0,1,Definitely true  4,Neither true nor false  2,1,3,Definitely true  4,Neither true nor false  2,Definitely true  4,Neither true nor false  2,Definitely true  4,1,Definitely false0,Definitely false0,Definitely false0,Definitely false0,Definitely false0,Definitely true  4,3,3,Definitely true  4,3,3,1,Definitely false0,Definitely false0,Definitely false0,Definitely false0,2,3,1 (Strongly Agree),1 (Strongly Agree),7 (Strongly Disagree),6,2,7 (Strongly Disagree),1 (Strongly Agree),5,7 (Strongly Disagree),7 (Strongly Disagree),6,1 (Strongly Agree),6,79,41,3,7,3,22,Female,162,"Student, Life sciences","Year 3, Semester 2",
12/2/19 20:02,12/2/19 20:55,IP Address,137.132.22.253,100,3146,TRUE,12/2/19 20:55,R_3EMgK8FIZHA1kzn,,,,,1.292892456,103.8547058,anonymous,EN,11,3,4,5,4,5,5,2,6,3,5,4,4,2,4,3,Neither true nor false  2,1,3,3,Neither true nor false  2,3,3,Neither true nor false  2,3,Definitely true  4,Neither true nor false  2,3,Definitely false0,Definitely false0,Definitely false0,Neither true nor false  2,1,1,Neither true nor false  2,3,3,3,3,3,3,Neither true nor false  2,1,1,1,2,2,8,2,2,8,2,6,7,2,8,8,6,6,5,3,4,2,6,6,2,3,3,Neither true nor false  2,1,1,1,Definitely true  4,3,1,1,3,3,Definitely true  4,1,3,1,Definitely false0,Definitely false0,1,1,1,3,1,3,3,1,Definitely true  4,Definitely false0,1,1,1,1,4,4,4,5,6,2,3,4,4,2,4,6,2,6,4,73,22,4,8,3,21,Female,163cm,Linguistics ,Y2,
